N,1m,2m,3m,4m,5m,6m,7m,8m,9m,1p,2p,3p,4p,5p,6p,7p,8p,9p,1s,2s,3s,4s,5s,6s,7s,8s,9s,東,南,西,北,白,発,中
66,1.7558,2.3524,1.7494,2.3524,2.3524,1.7494,1.7494,2.3524,2.3524,1.7494,2.3524,1.7494,1.1566,2.3524,1.7494,2.3524,1.1627,1.7527,1.7494,2.3524,1.7494,2.3524,1.7494,2.3524,2.3524,2.3524,2.3524,2.3524,1.7494,1.7494,2.3524,2.3524,1.7616,2.3524
65,1.7628,2.365,1.7564,2.365,2.365,1.7564,1.7564,2.365,2.365,1.7564,2.365,1.7564,1.1597,2.365,1.7564,2.365,1.1658,1.7597,1.7564,2.365,1.7564,2.365,1.7564,2.365,1.7713,2.365,2.365,2.365,1.7564,1.7564,2.365,2.365,1.7686,2.365
64,1.7693,2.3767,1.7629,2.3767,2.3767,1.7629,1.7629,2.3767,2.3767,1.7629,2.3767,1.7629,1.1626,2.3767,1.7629,2.3767,1.1686,1.7662,1.7629,2.3767,1.7629,2.3767,1.7629,2.3767,1.7777,1.7802,2.3767,2.3767,1.7629,1.7629,2.3767,2.3767,1.7751,2.3767
63,1.7753,2.3875,1.7689,2.3875,2.3875,1.7689,1.7689,2.3875,2.3875,1.7689,2.3875,1.7689,1.1652,2.3875,1.7689,2.3875,1.1713,1.7722,1.7689,2.3875,1.7689,2.3875,1.7689,2.3875,1.7837,1.7862,2.3875,2.3875,1.7689,1.7689,1.7885,2.3875,1.7811,2.3875
62,1.7808,2.3974,1.7744,2.3974,2.3974,1.7744,1.7744,2.3974,2.3974,1.7744,2.3974,1.7744,1.1676,2.3974,1.7744,2.3974,1.1737,1.7777,1.7744,2.3974,1.7744,2.3974,1.1817,2.3974,1.7892,1.7917,2.3974,2.3974,1.7744,1.7744,1.794,2.3974,1.7865,2.3974
61,1.7857,2.4062,1.7793,2.4062,2.4062,1.7793,1.7793,2.4062,2.4062,1.7793,2.4062,1.7793,1.1698,2.4062,1.7793,2.4062,1.1758,1.7826,1.7793,2.4062,1.7793,2.4062,1.1838,2.4062,1.7941,1.7966,2.4062,2.4062,1.7793,1.7793,1.7989,1.8029,1.7915,2.4062
60,1.7901,2.4141,1.7837,2.4141,2.4141,1.7837,1.7837,2.4141,2.4141,1.7837,2.4141,1.7837,1.1717,1.809,1.7837,2.4141,1.1778,1.787,1.7837,2.4141,1.7837,2.4141,1.1857,2.4141,1.7985,1.8009,2.4141,2.4141,1.7837,1.7837,1.8032,1.8073,1.7958,2.4141
59,1.7939,2.4209,1.7875,2.4209,2.4209,1.7875,1.7875,2.4209,2.4209,1.7875,2.4209,1.7875,1.1734,1.8128,1.7875,2.4209,1.1794,1.193,1.7875,2.4209,1.7875,2.4209,1.1874,2.4209,1.8023,1.8047,2.4209,2.4209,1.7875,1.7875,1.807,1.8111,1.7996,2.4209
58,1.7971,2.4267,1.7908,2.4267,2.4267,1.7908,1.7908,2.4267,1.8189,1.7908,2.4267,1.7908,1.1748,1.816,1.7908,2.4267,1.1808,1.1944,1.7908,2.4267,1.7908,2.4267,1.1888,2.4267,1.8055,1.8079,2.4267,2.4267,1.7908,1.7908,1.8102,1.8143,1.8028,2.4267
57,1.7997,2.4315,1.7934,2.4315,2.4315,1.7934,1.7934,2.4315,1.8215,1.7934,2.4315,1.7934,1.176,1.8186,1.7934,2.4315,1.182,1.1955,1.7934,2.4315,1.7934,2.4315,0.5947,2.4315,1.8081,1.8105,2.4315,2.4315,1.7934,1.7934,1.8128,1.8169,1.8055,2.4315
56,1.8017,2.435,1.7954,2.435,2.435,1.7954,1.7954,2.435,1.8235,1.7954,2.435,1.7954,1.1768,1.8206,1.7954,2.435,1.1829,1.1964,1.7954,2.435,1.7954,2.435,0.5949,2.435,1.8101,1.8125,2.435,2.435,1.7954,1.7954,1.2094,1.8189,1.8075,2.435
55,1.8031,2.4375,1.7967,2.4375,2.4375,1.1975,1.7967,2.4375,1.8248,1.7967,2.4375,1.7967,1.1774,1.822,1.7967,2.4375,1.1835,1.197,1.7967,2.4375,1.7967,2.4375,0.5951,2.4375,1.8114,1.8139,2.4375,2.4375,1.7967,1.7967,1.21,1.8202,1.8088,2.4375
54,1.2024,2.4387,1.7974,2.4387,2.4387,1.1978,1.7974,2.4387,1.8255,1.7974,2.4387,1.7974,1.1777,1.8226,1.7974,2.4387,1.1838,1.1973,1.7974,2.4387,1.7974,2.4387,0.5951,2.4387,1.8121,1.8146,2.4387,2.4387,1.7974,1.7974,1.2103,1.8209,1.8095,2.4387
53,1.2024,2.4387,1.7974,2.4387,2.4387,1.1978,1.7974,2.4387,1.8255,1.7974,2.4387,1.7974,1.1777,1.8226,1.7974,2.4387,1.1838,1.1973,1.7974,2.4387,1.7974,2.4387,0.5951,1.829,1.8121,1.8146,2.4387,2.4387,1.7974,1.7974,1.2103,1.8209,1.8095,2.4387
